"With a hearing difficulty-Worked full time, year round",1588308
"With a vision difficulty-Worked full time, year round",1208306
"With a cognitive difficulty-Worked full time, year round",1431684
"With an ambulatory difficulty-Worked full time, year round",1558255
"With a self care difficulty-Worked full time, year round",330265
"With an independent living difficulty-Worked full time, year round",689860
"With a hearing difficulty-Worked less than full time, year round",758429
"With a vision difficulty-Worked less than full time, year round",772169
"With a cognitive difficulty-Worked less than full time, year round",2051334
"With an ambulatory difficulty-Worked less than full time, year round",1382248
"With a self care difficulty-Worked less than full time, year round",405051
"With an independent living difficulty-Worked less than full time, year round",1164992
With a hearing difficulty-Did not work,1562896
With a vision difficulty-Did not work,1867955
With a cognitive difficulty-Did not work,5742986
With an ambulatory difficulty-Did not work,6451999
With a self care difficulty-Did not work,2783228
With an independent living difficulty-Did not work,5658371
